Topic,QuestionCategory,LocationDesc,Education,Income,Gender,% Adults W. Obesity,% Adults Exercise Weekly,% Adults Do not exercise,% Adults Eat Vegetable or Fruit Daily
Fruits and Vegetables - Behavior,Education,Alabama,College graduate,,,,,,27.25
Fruits and Vegetables - Behavior,Education,Alabama,High school graduate,,,,,,39.95
Fruits and Vegetables - Behavior,Education,Alabama,Less than high school,,,,,,45.01666667
Fruits and Vegetables - Behavior,Education,Alabama,Some college or technical school,,,,,,33.15
Fruits and Vegetables - Behavior,Age (years),Alabama,,,,,,,36.31190476
Fruits and Vegetables - Behavior,Gender,Alabama,,,Female,,,,33.4
Fruits and Vegetables - Behavior,Gender,Alabama,,,Male,,,,38.88333333
Fruits and Vegetables - Behavior,Income,Alabama,,"$15,000 - $24,999",,,,,40.43333333
Fruits and Vegetables - Behavior,Income,Alabama,,"$25,000 - $34,999",,,,,38.5
Fruits and Vegetables - Behavior,Income,Alabama,,"$35,000 - $49,999",,,,,32.83333333
Fruits and Vegetables - Behavior,Income,Alabama,,"$50,000 - $74,999",,,,,31.28333333
Fruits and Vegetables - Behavior,Income,Alabama,,"$75,000 or greater",,,,,29.16666667
Fruits and Vegetables - Behavior,Income,Alabama,,"Less than $15,000",,,,,44.33333333
Fruits and Vegetables - Behavior,Race/Ethnicity,Alabama,,,,,,,33.75190476
Fruits and Vegetables - Behavior,Total,Alabama,,,,,,,36
Fruits and Vegetables - Behavior,Education,Alaska,College graduate,,,,,,19.45
Fruits and Vegetables - Behavior,Education,Alaska,High school graduate,,,,,,36.26666667
Fruits and Vegetables - Behavior,Education,Alaska,Less than high school,,,,,,40.78333333
Fruits and Vegetables - Behavior,Education,Alaska,Some college or technical school,,,,,,28.46666667
Fruits and Vegetables - Behavior,Age (years),Alaska,,,,,,,29.61666667
Fruits and Vegetables - Behavior,Gender,Alaska,,,Female,,,,25.11666667
Fruits and Vegetables - Behavior,Gender,Alaska,,,Male,,,,33.63333333
Fruits and Vegetables - Behavior,Income,Alaska,,"$15,000 - $24,999",,,,,37.46666667
Fruits and Vegetables - Behavior,Income,Alaska,,"$25,000 - $34,999",,,,,32.73333333
Fruits and Vegetables - Behavior,Income,Alaska,,"$35,000 - $49,999",,,,,29.41666667
Fruits and Vegetables - Behavior,Income,Alaska,,"$50,000 - $74,999",,,,,26.21666667
Fruits and Vegetables - Behavior,Income,Alaska,,"$75,000 or greater",,,,,23.33333333
Fruits and Vegetables - Behavior,Income,Alaska,,"Less than $15,000",,,,,42.1
Fruits and Vegetables - Behavior,Race/Ethnicity,Alaska,,,,,,,32.55
Fruits and Vegetables - Behavior,Total,Alaska,,,,,,,29.53333333
Fruits and Vegetables - Behavior,Education,Arizona,College graduate,,,,,,22.7
Fruits and Vegetables - Behavior,Education,Arizona,High school graduate,,,,,,35.58333333
Fruits and Vegetables - Behavior,Education,Arizona,Less than high school,,,,,,35.78333333
Fruits and Vegetables - Behavior,Education,Arizona,Some college or technical school,,,,,,29.58333333
Fruits and Vegetables - Behavior,Age (years),Arizona,,,,,,,30.83611111
Fruits and Vegetables - Behavior,Gender,Arizona,,,Female,,,,26.71666667
Fruits and Vegetables - Behavior,Gender,Arizona,,,Male,,,,34.21666667
Fruits and Vegetables - Behavior,Income,Arizona,,"$15,000 - $24,999",,,,,34.56666667
Fruits and Vegetables - Behavior,Income,Arizona,,"$25,000 - $34,999",,,,,31.03333333
Fruits and Vegetables - Behavior,Income,Arizona,,"$35,000 - $49,999",,,,,31.88333333
Fruits and Vegetables - Behavior,Income,Arizona,,"$50,000 - $74,999",,,,,26.85
Fruits and Vegetables - Behavior,Income,Arizona,,"$75,000 or greater",,,,,25.13333333
Fruits and Vegetables - Behavior,Income,Arizona,,"Less than $15,000",,,,,37.35
Fruits and Vegetables - Behavior,Race/Ethnicity,Arizona,,,,,,,32.16520468
Fruits and Vegetables - Behavior,Total,Arizona,,,,,,,30.35
Fruits and Vegetables - Behavior,Education,Arkansas,College graduate,,,,,,29.38333333
Fruits and Vegetables - Behavior,Education,Arkansas,High school graduate,,,,,,42.16666667
Fruits and Vegetables - Behavior,Education,Arkansas,Less than high school,,,,,,46.11666667
Fruits and Vegetables - Behavior,Education,Arkansas,Some college or technical school,,,,,,36.63333333
Fruits and Vegetables - Behavior,Age (years),Arkansas,,,,,,,39.22222222
Fruits and Vegetables - Behavior,Gender,Arkansas,,,Female,,,,35.55
Fruits and Vegetables - Behavior,Gender,Arkansas,,,Male,,,,42.15
Fruits and Vegetables - Behavior,Income,Arkansas,,"$15,000 - $24,999",,,,,43.25
Fruits and Vegetables - Behavior,Income,Arkansas,,"$25,000 - $34,999",,,,,36.8
Fruits and Vegetables - Behavior,Income,Arkansas,,"$35,000 - $49,999",,,,,34.28333333
Fruits and Vegetables - Behavior,Income,Arkansas,,"$50,000 - $74,999",,,,,34.43333333
Fruits and Vegetables - Behavior,Income,Arkansas,,"$75,000 or greater",,,,,32.71666667
Fruits and Vegetables - Behavior,Income,Arkansas,,"Less than $15,000",,,,,46.08333333
Fruits and Vegetables - Behavior,Race/Ethnicity,Arkansas,,,,,,,38.19666667
Fruits and Vegetables - Behavior,Total,Arkansas,,,,,,,38.71666667
Fruits and Vegetables - Behavior,Education,California,College graduate,,,,,,18.81666667
Fruits and Vegetables - Behavior,Education,California,High school graduate,,,,,,29.83333333
Fruits and Vegetables - Behavior,Education,California,Less than high school,,,,,,26.01666667
Fruits and Vegetables - Behavior,Education,California,Some college or technical school,,,,,,25.95
Fruits and Vegetables - Behavior,Age (years),California,,,,,,,25.09722222
Fruits and Vegetables - Behavior,Gender,California,,,Female,,,,20.83333333
Fruits and Vegetables - Behavior,Gender,California,,,Male,,,,29
Fruits and Vegetables - Behavior,Income,California,,"$15,000 - $24,999",,,,,26.3
